Date,Open,High,Low,Close,Adj Close,Volume
2021-09-28,10.628571,10.876190,10.476190,10.504761,9.887136,68329905
2021-09-29,10.590476,10.761904,10.495238,10.704761,10.075378,50039955
2021-09-30,10.780952,10.809523,10.571428,10.609523,9.985741,56119140
2021-10-01,10.704761,10.923809,10.628571,10.876190,10.236730,37974195
2021-10-04,10.828571,10.876190,10.533333,10.628571,10.003667,36064245
2021-10-05,10.666666,10.895238,10.580952,10.790476,10.156053,40803630
2021-10-06,10.685714,10.828571,10.561904,10.828571,10.191911,38513160
2021-10-07,10.828571,10.857142,10.600000,10.619047,9.994705,32780370
2021-10-08,10.666666,10.933333,10.657142,10.780952,10.147088,40194525
2021-10-11,10.800000,10.838095,10.590476,10.619047,9.994705,31351635
2021-10-13,10.657142,10.685714,10.457142,10.638095,10.012632,29391705
2021-10-14,10.590476,10.666666,10.438095,10.514285,9.896102,36903300
2021-10-15,10.514285,10.714285,10.476190,10.714285,10.084342,33991965
2021-10-18,10.609523,10.828571,10.514285,10.790476,10.156053,24733800
2021-10-19,10.723809,10.723809,10.323809,10.390476,9.779572,47046615
2021-10-20,10.495238,10.666666,10.380952,10.609523,9.985741,29866620
2021-10-21,10.409523,10.609523,10.190476,10.323809,9.716825,50834070
2021-10-22,10.276190,10.276190,9.685714,10.028571,9.438945,69169275
2021-10-25,10.028571,10.247619,10.028571,10.161904,9.564440,23064930
2021-10-26,10.142857,10.142857,9.923809,9.971428,9.385160,25875465
2021-10-27,10.019047,10.228571,10.000000,10.019047,9.429979,20838720
2021-10-28,9.980952,10.085714,9.857142,9.971428,9.385160,25045860
2021-10-29,9.990476,10.095238,9.761904,9.761904,9.187956,33298230
2021-11-01,9.819047,10.095238,9.819047,10.009523,9.421017,31700235
2021-11-03,9.942857,10.228571,9.933333,10.095238,9.501692,38137575
2021-11-04,10.152380,10.180952,9.704761,9.761904,9.187956,38563350
2021-11-05,9.866666,9.885714,9.542857,9.685714,9.116247,54039720
2021-11-08,9.676190,9.790476,9.590476,9.666666,9.098318,24566955
2021-11-09,9.704761,9.761904,9.533333,9.561904,8.999716,26200125
2021-11-10,9.580952,9.895238,9.542857,9.780952,9.205887,36041565
2021-11-11,9.866666,9.914285,9.714285,9.752380,9.178993,22340850
2021-11-12,9.742857,9.885714,9.657142,9.742857,9.170031,20378505
2021-11-16,9.742857,9.809523,9.523809,9.561904,8.999716,24979710
2021-11-17,9.619047,9.666666,9.476190,9.552380,8.990751,29892975
2021-11-18,9.580952,9.600000,9.371428,9.485714,8.928004,33376140
2021-11-19,9.485714,9.523809,9.390476,9.476190,8.919040,30593010
2021-11-22,9.504761,9.552380,9.342857,9.380952,8.829402,29014020
2021-11-23,9.400000,9.504761,9.314285,9.466666,8.910078,22092315
2021-11-24,9.285714,9.523809,9.266666,9.466666,9.050960,24923010
2021-11-25,9.447619,9.647619,9.447619,9.552380,9.132907,16689540
2021-11-26,9.419047,9.419047,9.238095,9.361904,8.950798,27096195
2021-11-29,9.438095,9.476190,9.314285,9.352380,8.941691,20268465
2021-11-30,9.352380,9.390476,9.104761,9.209523,8.805107,60708585
2021-12-01,9.285714,9.419047,9.161904,9.161904,8.780947,32780790
2021-12-02,9.295238,9.485714,9.247619,9.428571,9.036524,26603115
2021-12-03,9.409523,9.600000,9.295238,9.380952,8.990885,27459600
2021-12-06,9.409523,9.609523,9.380952,9.495238,9.100418,24503955
2021-12-07,9.600000,9.609523,9.380952,9.409523,9.018270,23292885
2021-12-08,9.447619,9.485714,9.333333,9.438095,9.045652,35746935
2021-12-09,9.457142,9.466666,9.142857,9.219047,8.835711,20607825
2021-12-10,9.276190,9.323809,9.152380,9.238095,8.853967,14340690
2021-12-13,9.266666,9.333333,9.104761,9.104761,8.726178,38207190
2021-12-14,9.190476,9.361904,9.152380,9.152380,8.793461,32428200
2021-12-15,9.247619,9.276190,9.066666,9.238095,8.875813,30848685
2021-12-16,9.276190,9.295238,9.171428,9.247619,8.884964,26776260
2021-12-17,9.209523,9.219047,9.066666,9.085714,8.729409,34875750
2021-12-20,9.076190,9.085714,8.895238,9.000000,8.647055,27003480
2021-12-21,9.070000,9.100000,8.890000,8.940000,8.589408,24571100
2021-12-22,8.930000,8.980000,8.850000,8.970000,8.618232,15136000
2021-12-23,8.980000,9.020000,8.910000,8.990000,8.637448,12063100
2021-12-27,9.000000,9.090000,8.960000,9.090000,8.733527,15350300
2021-12-28,9.090000,9.150000,9.030000,9.080000,8.723918,12583800
2021-12-29,9.080000,9.110000,8.970000,9.030000,8.675879,12898100
2021-12-30,9.040000,9.060000,8.900000,8.930000,8.579801,23322800
2022-01-03,9.020000,9.190000,8.920000,9.020000,8.666272,28542600
2022-01-04,9.030000,9.170000,8.970000,9.090000,8.733527,38831200
2022-01-05,9.050000,9.110000,8.920000,8.990000,8.637448,34712800
2022-01-06,8.980000,9.140000,8.940000,9.070000,8.714311,25383800
2022-01-07,9.070000,9.190000,9.010000,9.180000,8.819998,21446300
2022-01-10,9.150000,9.220000,9.080000,9.180000,8.819998,21680100
2022-01-11,9.170000,9.350000,9.100000,9.330000,8.964116,37639700
2022-01-12,9.340000,9.440000,9.200000,9.300000,8.935291,31059000
2022-01-13,9.270000,9.590000,9.260000,9.560000,9.185095,41082300
2022-01-14,9.610000,9.720000,9.580000,9.670000,9.290781,38312800
2022-01-17,9.480000,9.600000,9.420000,9.540000,9.294035,14593300
2022-01-18,9.500000,9.710000,9.480000,9.610000,9.362230,41689400
2022-01-19,9.600000,9.710000,9.520000,9.620000,9.371972,27932700
2022-01-20,9.650000,9.690000,9.570000,9.610000,9.362230,21443500
2022-01-21,9.590000,9.710000,9.510000,9.550000,9.303778,26819600
2022-01-24,9.540000,9.620000,9.400000,9.500000,9.255067,25390300
2022-01-25,9.500000,9.780000,9.440000,9.740000,9.488878,25848100
2022-01-26,9.780000,9.900000,9.720000,9.840000,9.586300,29474400
2022-01-27,9.880000,10.100000,9.870000,9.970000,9.712949,21536900
2022-01-28,9.940000,10.090000,9.880000,10.070000,9.810370,18859300
2022-01-31,10.050000,10.260000,10.000000,10.190000,9.927276,27757000
2022-02-01,10.170000,10.260000,10.150000,10.210000,9.946761,14999300
